,time,latitude,longitude,elevation
259,2020-10-09 12:38:42,52.378815254,9.730974594,66.95
260,2020-10-09 12:38:44,52.378822295,9.73098197,66.95
261,2020-10-09 12:38:45,52.378825564,9.730993956,66.95
262,2020-10-09 12:38:46,52.378830425,9.731004182,66.95
263,2020-10-09 12:38:49,52.378852889,9.731024131,66.47
264,2020-10-09 12:38:50,52.378861439,9.73103595,66.47
265,2020-10-09 12:38:52,52.378880968,9.731049612,66.47
266,2020-10-09 12:38:56,52.378912317,9.731076769,66.47
267,2020-10-09 12:39:00,52.378944252,9.731092611,66.47
268,2020-10-09 12:39:02,52.378953807,9.731100658,66.47
269,2020-10-09 12:39:06,52.378973253,9.731112057,66.47
270,2020-10-09 12:39:11,52.378998315,9.731147261,65.99
271,2020-10-09 12:39:12,52.379005272,9.731148435,65.99
272,2020-10-09 12:39:13,52.379014827,9.731145082,65.99
273,2020-10-09 12:39:14,52.379021868,9.731137706,66.47
274,2020-10-09 12:39:15,52.379024215,9.731121948,65.99
275,2020-10-09 12:39:17,52.379025472,9.731085151,65.99
276,2020-10-09 12:39:19,52.379031172,9.731057826,65.99
277,2020-10-09 12:39:21,52.379040895,9.731033016,65.99
278,2020-10-09 12:39:25,52.379054474,9.730984066,65.99
279,2020-10-09 12:39:29,52.379074004,9.730939977,65.99
280,2020-10-09 12:39:32,52.379084481,9.730908545,65.99
281,2020-10-09 12:39:36,52.379093785,9.730859594,65.99
282,2020-10-09 12:39:37,52.37909764,9.730847944,65.99
283,2020-10-09 12:39:39,52.379101161,9.730821708,65.99
284,2020-10-09 12:39:42,52.379111219,9.730791031,65.99
285,2020-10-09 12:39:43,52.379113063,9.730777536,66.47
286,2020-10-09 12:39:46,52.37912572,9.73074778,66.47
287,2020-10-09 12:39:51,52.379144747,9.730690196,65.99
288,2020-10-09 12:39:54,52.379159918,9.730658177,66.47
289,2020-10-09 12:39:59,52.379177017,9.730597911,65.99
290,2020-10-09 12:40:03,52.379193362,9.730550218,65.99
291,2020-10-09 12:40:05,52.379199397,9.730524989,65.99
292,2020-10-09 12:40:07,52.37920736,9.730500681,65.99
293,2020-10-09 12:40:10,52.379220938,9.730465729,65.99
294,2020-10-09 12:40:15,52.379237283,9.730411749,65.99
295,2020-10-09 12:40:19,52.379255136,9.730367241,65.99
296,2020-10-09 12:40:20,52.379261171,9.730357435,65.99
297,2020-10-09 12:40:25,52.379280282,9.730300102,65.99
298,2020-10-09 12:40:29,52.379283719,9.730256936,65.99
299,2020-10-09 12:40:30,52.379274918,9.730245788,65.99
300,2020-10-09 12:40:31,52.379269972,9.730242519,65.99
301,2020-10-09 12:40:35,52.379256478,9.730194574,65.99
302,2020-10-09 12:40:37,52.379257986,9.730170434,65.99
303,2020-10-09 12:40:39,52.379264189,9.73014839,65.99
304,2020-10-09 12:40:41,52.379273744,9.730128357,65.99
305,2020-10-09 12:40:43,52.379287491,9.730117545,65.99
306,2020-10-09 12:40:44,52.379295789,9.730108073,65.99
307,2020-10-09 12:40:47,52.379313391,9.730069935,65.99
308,2020-10-09 12:40:50,52.379320096,9.730025092,65.99
309,2020-10-09 12:40:54,52.379324958,9.729967592,65.99
310,2020-10-09 12:40:56,52.379322611,9.729942614,65.99
311,2020-10-09 12:40:58,52.379314313,9.729912775,65.99
312,2020-10-09 12:41:00,52.379309535,9.729876397,65.99
313,2020-10-09 12:41:03,52.379305344,9.729827112,65.99
314,2020-10-09 12:41:07,52.37929822,9.72978361,65.99
315,2020-10-09 12:41:10,52.379279193,9.729749328,65.99
316,2020-10-09 12:41:12,52.379270978,9.729724433,65.99
317,2020-10-09 12:41:14,52.37925983,9.729701383,65.99
318,2020-10-09 12:41:17,52.379250191,9.729668274,65.99
319,2020-10-09 12:41:18,52.379248682,9.729653606,65.99
320,2020-10-09 12:41:22,52.379249437,9.729615385,65.99
321,2020-10-09 12:41:23,52.37924776,9.72960365,65.99
322,2020-10-09 12:41:26,52.379239211,9.729571799,65.99
323,2020-10-09 12:41:28,52.379230494,9.729557298,65.99
