"NODE_ID","NODE_TYPE","LOCATION_TYPE","LOCATED_MIDPOINT","COMPLEX_INT_NO","AMG_X","AMG_Y","ROAD_NAME_1","ROAD_TYPE_1","ROAD_DESC_1","ROAD_ROUTE_1","ROAD_NAME_2","ROAD_TYPE_2","ROAD_DESC_2","ROAD_NAME_3","ROAD_TYPE_3","ROAD_DESC_3","DISTANCE_LOCATION","DIRECTION_LOCATION","NEAREST_KM_POST","OFF_ROAD_LOCATION","DIRECTORY","EDITION","PAGE","GRID_REFERENCE_X","GRID_REFERENCE_Y","LGA_NAME","REGION_NAME","UNKNOWN"
46387,"I","I","N",7148,443138.535511314,5775759.36700939,"PRINCES","HIGHWAY WEST","(R)",2500,"HAMILTON","HIGHWAY","","","","",,"",,"","MEL","ED35","401","D","4","GEELONG","SOUTH WESTERN REGION",0
46407,"I","I","N",8068,507460.490362842,5830856.05510888,"MAIN WHITTLESEA","ROAD","(R)",5814,"MCGLYNN","AVENUE","","","","",,"",,"","MEL","ED35","183","E","12","WHITTLESEA","METROPOLITAN NORTH WEST REGION",0
46469,"I","I","N",0,497474.27727064,5814601.600411,"BARKLY","STREET","",107337,"CANNING","STREET","","","","",,"",,"","MEL","ED35","2B","J","7","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46480,"I","I","N",0,489494.416075937,5826765.45783017,"TULLAMARINE","FREEWAY","(R-EN-  28101301)",2810,"TULLAMARINE","FREEWAY","(R-EX-  28101402)","","","",,"",,"","MEL","ED35","5","J","10","HUME","METROPOLITAN NORTH WEST REGION",29
46519,"I","I","N",0,499445.235147958,5809304.30042655,"MALVERN","ROAD","",5699,"LITTLE CHAPEL","STREET","","","","",,"",,"","MEL","ED35","2L","J","9","STONNINGTON","METROPOLITAN SOUTH EAST REGION",0
46520,"I","I","N",0,496425.706558249,5822338.50459415,"FRENCH","STREET","",142367,"WILLIAMS","ROAD","","","","",,"",,"","MEL","ED35","17","G","9","MORELAND","METROPOLITAN NORTH WEST REGION",0
46523,"I","I","N",0,498911.504830786,5815659.46496612,"HEIDELBERG","ROAD","(R-SERVICE-RD)",5812,"WELLINGTON","STREET","","","","",,"",,"","MEL","ED35","2C","F","2","YARRA","METROPOLITAN NORTH WEST REGION",0
46517,"I","I","N",0,501058.135118856,5795411.20721287,"BEACH","ROAD","",5840,"GLENMORE","CRESCENT","","","","",,"",,"","MEL","ED35","85","J","3","BAYSIDE","METROPOLITAN SOUTH EAST REGION",0
46534,"I","I","N",0,511580.918643918,5813694.49144892,"DORKING","ROAD","",132728,"PACKHAM","STREET","","","","",,"",,"","MEL","ED35","47","F","6","WHITEHORSE","METROPOLITAN SOUTH EAST REGION",0
46543,"I","I","N",1004,486688.896350371,5812681.79239727,"PRINCES","HIGHWAY WEST","",2500,"MILLERS","ROAD","","","","",,"",,"","MEL","ED35","41","B","9","BRIMBANK","METROPOLITAN NORTH WEST REGION",0
46544,"I","I","N",8232,501610.79041209,5822545.38716949,"WHITTLESEA","ROAD","",5813,"WILKINSON","STREET","","","","",,"",,"","MEL","ED35","18","K","8","DAREBIN","METROPOLITAN NORTH WEST REGION",0
46556,"I","I","N",0,509521.533567994,5800199.646996,"CORAL","COURT","",126249,"SPRINGS","ROAD","","","","",,"",,"","MEL","ED35","79","A","3","KINGSTON","METROPOLITAN SOUTH EAST REGION",0
46573,"I","I","N",0,492772.834070584,5816144.72370716,"EPSOM","ROAD","",5602,"DUNCAN","STREET","","","","",,"",,"","MEL","ED35","28","H","12","MELBOURNE","METROPOLITAN NORTH WEST REGION",0
46614,"I","I","N",0,504546.13721847,5817301.32350288,"IRVINE","ROAD","",157300,"THE BOULEVARD","","","","","",,"",,"","MEL","ED35","31","H","9","BANYULE","METROPOLITAN NORTH WEST REGION",0
46622,"I","I","N",0,504957.908512335,5800323.4013997,"EAST BOUNDARY","ROAD","",5316,"CLARENCE","STREET","","","","",,"",,"","MEL","ED35","77","J","3","GLEN EIRA","METROPOLITAN SOUTH EAST REGION",0
46616,"I","I","N",8619,499439.371457216,5812715.46257676,"CAMERON","STREET","",118296,"LENNOX","STREET","","","","",,"",,"","MEL","ED35","2G","J","5","YARRA","METROPOLITAN NORTH WEST REGION",0
46645,"I","I","N",0,496468.116940521,5819502.19083672,"MORELAND","ROAD","",5978,"STATION","STREET","","","","",,"",,"","MEL","ED35","29","G","4","MORELAND","METROPOLITAN NORTH WEST REGION",0
46651,"I","I","N",0,496639.558207156,5810239.39982347,"CLARENDON","STREET","",5318,"ALBERT","ROAD","(R-SERVICE-RD)","","","",,"",,"I/S","MEL","ED35","2K","E","5","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
46656,"I","I","N",0,504539.812283295,5832326.37176184,"FINDON","ROAD","",139951,"FINDON","ROAD","","","","",,"",,"","MEL","ED35","182","H","8","WHITTLESEA","METROPOLITAN NORTH WEST REGION",0
46665,"I","I","N",8256,501121.638979901,5821901.07585084,"WHITTLESEA","ROAD","",5813,"MALPAS","STREET","","","","",,"",,"","MEL","ED35","18","J","10","DAREBIN","METROPOLITAN NORTH WEST REGION",0
46672,"I","I","N",8764,498976.561460466,5806523.65229024,"NEPEAN","HIGHWAY","(F-SERVICE-RD)",2660,"CHAPEL","STREET","","","","",,"",,"","MEL","ED35","2P","G","11","PORT PHILLIP","METROPOLITAN NORTH WEST REGION",0
46709,"I","I","N",5253,503069.440530451,5812492.03378139,"GLENFERRIE","ROAD","",5310,"MARY","STREET","","","","",,"",,"","MEL","ED35","45","D","9","BOROONDARA","METROPOLITAN SOUTH EAST REGION",0
