track_seg_point_id,ele,time,speed,longitude,latitude
8132,380.816936072,2019-07-12T16:49:48,1.2972090244293213,-5.039491602,7.693307531
8133,380.861014951,2019-07-12T16:49:49,1.2952040433883667,-5.039488644,7.69331491
8134,380.913466702,2019-07-12T16:49:50,1.2889310121536255,-5.039485861,7.69332417
8135,380.965587897,2019-07-12T16:49:51,1.2823220491409302,-5.039482367,7.693338224
8136,381.017814151,2019-07-12T16:49:52,1.2761950492858887,-5.039480885,7.693349928
8137,381.064725761,2019-07-12T16:49:53,1.2726099491119385,-5.039475808,7.693365893
8138,381.104636604,2019-07-12T16:49:54,1.272871971130371,-5.039470947,7.693379273
8139,381.138562867,2019-07-12T16:49:55,1.2774009704589844,-5.039464675,7.693394784
8140,381.171495397,2019-07-12T16:49:56,1.2834969758987427,-5.039461365,7.693403562
8141,381.210845308,2019-07-12T16:49:57,1.290012001991272,-5.039458057,7.693412393
8142,381.256422001,2019-07-12T16:49:58,1.296170949935913,-5.039452508,7.693424083
8143,381.295755594,2019-07-12T16:49:59,1.2980469465255737,-5.039447556,7.693431042
8144,381.307112283,2019-07-12T16:50:00,1.2908660173416138,-5.039441368,7.693439998
8145,381.296861703,2019-07-12T16:50:01,1.28324294090271,-5.039433165,7.693454335
8146,381.261608992,2019-07-12T16:50:02,1.2717490196228027,-5.039427466,7.693465258
8147,381.213321455,2019-07-12T16:50:03,1.257351040840149,-5.039421714,7.693473655
8148,381.187578908,2019-07-12T16:50:04,1.242503046989441,-5.039413539,7.693484525
8149,381.152956864,2019-07-12T16:50:05,1.2354270219802856,-5.039408633,7.693493466
8150,381.12858043,2019-07-12T16:50:06,1.237902045249939,-5.039406094,7.693501701
8151,381.099563742,2019-07-12T16:50:07,1.242027997970581,-5.039405053,7.693508273
8152,381.080865394,2019-07-12T16:50:08,1.2395230531692505,-5.039403737,7.693516305
8153,381.066627611,2019-07-12T16:50:09,1.233389973640442,-5.039400168,7.693529852
8154,381.068165387,2019-07-12T16:50:10,1.2267860174179077,-5.039392297,7.69355116
8155,381.064030789,2019-07-12T16:50:11,1.2302160263061523,-5.03938605,7.693567411
8156,381.064514218,2019-07-12T16:50:12,1.2460110187530518,-5.039382719,7.693576612
8157,381.09051806,2019-07-12T16:50:13,1.2649650573730469,-5.039379989,7.693584259
8158,381.128124412,2019-07-12T16:50:14,1.2780109643936157,-5.039376402,7.693592736
8159,381.159482602,2019-07-12T16:50:15,1.291275978088379,-5.039370697,7.693603437
8160,381.19495694,2019-07-12T16:50:16,1.3034019470214844,-5.039362711,7.693616773
8161,381.22803463,2019-07-12T16:50:17,1.3204319477081299,-5.039352311,7.693633354
8162,381.236062858,2019-07-12T16:50:18,1.3388060331344604,-5.039341783,7.693648138
8163,381.269742326,2019-07-12T16:50:19,1.3490020036697388,-5.039330942,7.693664848
8164,381.2976923,2019-07-12T16:50:20,1.356389045715332,-5.039323273,7.693677102
8165,381.343019323,2019-07-12T16:50:21,1.3652559518814087,-5.03931585,7.693689641
8166,381.403129494,2019-07-12T16:50:22,1.3728619813919067,-5.039315116,7.693695897
8167,381.473069505,2019-07-12T16:50:23,1.3794699907302856,-5.039317416,7.69369901
8168,381.526749664,2019-07-12T16:50:24,1.388069987297058,-5.039316201,7.693708896
8169,381.607061745,2019-07-12T16:50:25,1.3983700275421143,-5.039312096,7.693725199
8170,381.672959946,2019-07-12T16:50:26,1.4102940559387207,-5.039310111,7.693734856
8171,381.738404169,2019-07-12T16:50:27,1.4095289707183838,-5.039309393,7.693743125
8172,381.831431632,2019-07-12T16:50:28,1.4009360074996948,-5.039306565,7.693756952
8173,381.916489716,2019-07-12T16:50:29,1.3976490497589111,-5.039303769,7.693766204
8174,381.991930068,2019-07-12T16:50:30,1.4004080295562744,-5.039301527,7.693771928
8175,382.077867039,2019-07-12T16:50:31,1.409566044807434,-5.03929818,7.693779006
8176,382.175838513,2019-07-12T16:50:32,1.40944504737854,-5.039294492,7.693786241
8177,382.269743627,2019-07-12T16:50:33,1.4065309762954712,-5.039288983,7.693799545
8178,382.36472165,2019-07-12T16:50:34,1.4041119813919067,-5.039283202,7.693811122
8179,382.462931337,2019-07-12T16:50:35,1.3963229656219482,-5.03927813,7.693821189
8180,382.546992217,2019-07-12T16:50:36,1.3878910541534424,-5.039274156,7.693828908
8181,382.634643477,2019-07-12T16:50:37,1.3679020404815674,-5.039266954,7.693839172
8182,382.717450784,2019-07-12T16:50:38,1.345615029335022,-5.039255836,7.693853357
8183,382.785003047,2019-07-12T16:50:39,1.3140889406204224,-5.039247887,7.693863644
8184,382.849840426,2019-07-12T16:50:40,1.278771996498108,-5.039243268,7.693868554
8185,382.907607202,2019-07-12T16:50:41,1.2463330030441284,-5.039241446,7.693869212
8186,382.944756458,2019-07-12T16:50:42,1.2252190113067627,-5.039232275,7.69387831
8187,382.988897923,2019-07-12T16:50:43,1.21384596824646,-5.039217562,7.693887479
8188,383.037897809,2019-07-12T16:50:44,1.204535961151123,-5.039203407,7.693897273
8189,383.092153483,2019-07-12T16:50:45,1.2038060426712036,-5.039191527,7.693906292
8190,383.133747629,2019-07-12T16:50:46,1.2063119411468506,-5.039180577,7.69391687
8191,383.166697956,2019-07-12T16:50:47,1.213271975517273,-5.039171722,7.693926475
8192,383.192489061,2019-07-12T16:50:48,1.2129729986190796,-5.039165691,7.693936374
8193,383.217826343,2019-07-12T16:50:49,1.2151859998703003,-5.039162449,7.693945339
8194,383.24506621,2019-07-12T16:50:50,1.210800051689148,-5.039158569,7.693951721
8195,383.281155758,2019-07-12T16:50:51,1.1980899572372437,-5.039152166,7.69396113
8196,383.310345846,2019-07-12T16:50:52,1.173306941986084,-5.039145634,7.693970858
8197,383.331343108,2019-07-12T16:50:53,1.1492609977722168,-5.039140814,7.693981339
8198,383.356731592,2019-07-12T16:50:54,1.1323959827423096,-5.03913768,7.693992938
8199,383.387935841,2019-07-12T16:50:55,1.1232659816741943,-5.039133537,7.694004267
8200,383.412462565,2019-07-12T16:50:56,1.1063599586486816,-5.039127181,7.694014457
8201,383.429754606,2019-07-12T16:50:57,1.0906230211257935,-5.039118823,7.694024138
8202,383.444863439,2019-07-12T16:50:58,1.0797059535980225,-5.039110325,7.69403423
8203,383.4537872,2019-07-12T16:50:59,1.0716259479522705,-5.039103878,7.694043869
8204,383.470838177,2019-07-12T16:51:00,1.068321943283081,-5.039097626,7.694053119
8205,383.480755282,2019-07-12T16:51:01,1.0537489652633667,-5.039090251,7.694061364
8206,383.480558047,2019-07-12T16:51:02,1.0221929550170898,-5.039081858,7.694065589
8207,383.488863284,2019-07-12T16:51:03,0.988440990447998,-5.039075153,7.694063605
8208,383.489928417,2019-07-12T16:51:04,0.9705970287322998,-5.03907584,7.694057542
8209,383.481386507,2019-07-12T16:51:05,0.9526500105857849,-5.039082714,7.694045772
8210,383.453864136,2019-07-12T16:51:06,0.9305999875068665,-5.039094068,7.694031622
8211,383.410523992,2019-07-12T16:51:07,0.6761720180511475,-5.039104838,7.694017425
8212,383.366229843,2019-07-12T16:51:08,0.6733790040016174,-5.039107737,7.694005567
8213,383.317789376,2019-07-12T16:51:09,0.4440850019454956,-5.039105028,7.693996235
8214,383.270759796,2019-07-12T16:51:10,0.31088998913764954,-5.039102602,7.69399138
8215,383.22261473,2019-07-12T16:51:11,0.7477449774742126,-5.039103342,7.693992066
8216,383.165047672,2019-07-12T16:51:12,0.4682700037956238,-5.039099711,7.693987744
8217,383.158270878,2019-07-12T16:51:13,0.29184699058532715,-5.039094591,7.69397998
8218,383.150487447,2019-07-12T16:51:14,0.007803000044077635,-5.039091657,7.693974073
8219,383.143384169,2019-07-12T16:51:15,0.01286999974399805,-5.039090644,7.693973756
8220,383.134680799,2019-07-12T16:51:16,0.003664999967440963,-5.039087955,7.693976333
8221,383.125249305,2019-07-12T16:51:17,0.015184000134468079,-5.039089131,7.693979016
8222,383.116232048,2019-07-12T16:51:18,0.028843000531196594,-5.039092743,7.693981297
8223,383.108501952,2019-07-12T16:51:19,0.00988100003451109,-5.039097278,7.693983541
8224,383.102366961,2019-07-12T16:51:20,0.010067000053822994,-5.039102162,7.693985815
8225,383.097970256,2019-07-12T16:51:21,0.02851100079715252,-5.039104297,7.693986862
8226,383.095399357,2019-07-12T16:51:22,0.004403000231832266,-5.03910555,7.693987511
8227,383.091442261,2019-07-12T16:51:23,0.0427899993956089,-5.039106418,7.693987971
8228,383.086103587,2019-07-12T16:51:24,0.03079099953174591,-5.039107192,7.693988285
8229,383.080033695,2019-07-12T16:51:25,0.009777000173926353,-5.039108075,7.693988446
8230,383.075693094,2019-07-12T16:51:26,0.009290000423789024,-5.039108924,7.693988524
8231,383.070138741,2019-07-12T16:51:27,0.024411000311374664,-5.039109473,7.693988573
8232,383.064818782,2019-07-12T16:51:28,0.02009899914264679,-5.039109882,7.693988579
8233,383.061349382,2019-07-12T16:51:29,0.0005510000046342611,-5.039110271,7.69398856
8234,383.057298195,2019-07-12T16:51:30,0.025807000696659088,-5.039110666,7.693988544
8235,383.053245557,2019-07-12T16:51:31,0.010847999714314938,-5.039111039,7.693988521
8236,383.049068925,2019-07-12T16:51:32,0.026095999404788017,-5.039111398,7.693988481
8237,383.044107141,2019-07-12T16:51:33,0.0008490000036545098,-5.039111759,7.693988431
8238,383.037845297,2019-07-12T16:51:34,0.0023719999007880688,-5.039112119,7.693988401
8239,383.035992432,2019-07-12T16:51:35,0.023360000923275948,-5.039110895,7.693988691
8240,383.034012094,2019-07-12T16:51:36,0.011877000331878662,-5.039105824,7.693990035
8241,383.031696871,2019-07-12T16:51:37,0.008429000154137611,-5.039101094,7.693991821
8242,383.022807502,2019-07-12T16:51:38,0.20576000213623047,-5.039100114,7.693992966
8243,383.024159278,2019-07-12T16:51:39,0.038906000554561615,-5.03909704,7.693996139
8244,383.027760239,2019-07-12T16:51:40,0.1466429978609085,-5.039094106,7.69399948
8245,383.108872524,2019-07-12T16:51:41,0.2772650122642517,-5.039093757,7.694001439
8246,383.223978167,2019-07-12T16:51:42,0.40566501021385193,-5.039091929,7.694004909
8247,383.323688539,2019-07-12T16:51:43,0.46936699748039246,-5.039091896,7.694008864
8248,383.422745848,2019-07-12T16:51:44,0.3829540014266968,-5.039094725,7.694012362
8249,383.511062065,2019-07-12T16:51:45,0.40839698910713196,-5.03909554,7.694017666
8250,383.600188777,2019-07-12T16:51:46,0.3072749972343445,-5.039096636,7.694022828
8251,383.702834876,2019-07-12T16:51:47,0.3662109971046448,-5.039097364,7.694028975
8252,383.824870928,2019-07-12T16:51:48,0.28011101484298706,-5.039098103,7.69403277
8253,383.835043636,2019-07-12T16:51:49,0.054124001413583755,-5.039098579,7.694036297
8254,383.95629457,2019-07-12T16:51:50,0.32453399896621704,-5.039098576,7.69403974
8255,383.967774101,2019-07-12T16:51:51,0.2175299972295761,-5.039098824,7.694042221
8256,383.979714047,2019-07-12T16:51:52,0.025750000029802322,-5.039099184,7.694044197
8257,383.991740751,2019-07-12T16:51:53,0.013562999665737152,-5.039100052,7.694045447
8258,384.003295611,2019-07-12T16:51:54,0.011254999786615372,-5.039100906,7.694046376
8259,384.013730606,2019-07-12T16:51:55,0.021784000098705292,-5.039101618,7.694047127
8260,384.026281849,2019-07-12T16:51:56,0.027650000527501106,-5.039101961,7.694047742
8261,384.035486711,2019-07-12T16:51:57,0.031005999073386192,-5.039101739,7.694048142
8262,384.043567527,2019-07-12T16:51:58,0.009455000050365925,-5.039101102,7.694048207
8263,384.051060385,2019-07-12T16:51:59,0.05740499868988991,-5.039100273,7.694048156
8264,384.060743446,2019-07-12T16:52:00,0.008248000405728817,-5.03909943,7.694047971
8265,384.070962804,2019-07-12T16:52:01,0.004157000221312046,-5.039098519,7.694047571
8266,384.171475175,2019-07-12T16:52:02,0.21490900218486786,-5.039097673,7.69404707
8267,384.259622904,2019-07-12T16:52:03,0.2300409972667694,-5.039096227,7.694046162
8268,384.346110425,2019-07-12T16:52:04,0.3512730002403259,-5.03909316,7.6940464
8269,384.41781348,2019-07-12T16:52:05,0.40490400791168213,-5.039089408,7.694052029
8270,384.488131483,2019-07-12T16:52:06,0.48471400141716003,-5.039087097,7.694059692
8271,384.551328876,2019-07-12T16:52:07,0.490464985370636,-5.039085326,7.694064726
8272,384.593804187,2019-07-12T16:52:08,0.3975209891796112,-5.039083384,7.694069779
8273,384.598222511,2019-07-12T16:52:09,0.26124298572540283,-5.039081697,7.694073645
8274,384.60228463,2019-07-12T16:52:10,0.17547999322414398,-5.039080463,7.694078542
8275,384.606766121,2019-07-12T16:52:11,0.018497999757528305,-5.039079682,7.694081685
8276,384.610200117,2019-07-12T16:52:12,0.018648000434041023,-5.039078856,7.694084934
8277,384.614535062,2019-07-12T16:52:13,0.0007479999912902713,-5.039077824,7.694085138
