Start,End,Average daily use
27/8/17 0:00,28/8/17 0:00,1.8
26/8/17 0:00,27/8/17 0:00,1.9
25/8/17 0:00,26/8/17 0:00,1.8
24/8/17 0:00,25/8/17 0:00,1.7
23/8/17 0:00,24/8/17 0:00,2
22/8/17 0:00,23/8/17 0:00,1.8
21/8/17 0:00,22/8/17 0:00,1.8
20/8/17 0:00,21/8/17 0:00,1.7
19/8/17 0:00,20/8/17 0:00,1.7
18/8/17 0:00,19/8/17 0:00,1.9
17/8/17 0:00,18/8/17 0:00,2.1
16/8/17 0:00,17/8/17 0:00,1.9
15/8/17 0:00,16/8/17 0:00,2.2
14/8/17 0:00,15/8/17 0:00,8.9
13/8/17 0:00,14/8/17 0:00,22.5
12/8/17 0:00,13/8/17 0:00,20
11/8/17 0:00,12/8/17 0:00,12.6
10/8/17 0:00,11/8/17 0:00,10.5
9/8/17 0:00,10/8/17 0:00,16.5
8/8/17 0:00,9/8/17 0:00,13.5
7/8/17 0:00,8/8/17 0:00,17.5
6/8/17 0:00,7/8/17 0:00,17
5/8/17 0:00,6/8/17 0:00,19
4/8/17 0:00,5/8/17 0:00,16.8
3/8/17 0:00,4/8/17 0:00,24.4
2/8/17 0:00,3/8/17 0:00,14.4
1/8/17 0:00,2/8/17 0:00,21
31/7/17 0:00,1/8/17 0:00,11.1
30/7/17 0:00,31/7/17 0:00,23.9
29/7/17 0:00,30/7/17 0:00,10
28/7/17 0:00,29/7/17 0:00,23.2
27/7/17 0:00,28/7/17 0:00,22.1
26/7/17 0:00,27/7/17 0:00,12.8
25/7/17 0:00,26/7/17 0:00,11.7
24/7/17 0:00,25/7/17 0:00,24.9
23/7/17 0:00,24/7/17 0:00,7.9
22/7/17 0:00,23/7/17 0:00,14.5
21/7/17 0:00,22/7/17 0:00,24.4
20/7/17 0:00,21/7/17 0:00,24.2
19/7/17 0:00,20/7/17 0:00,16.7
18/7/17 0:00,19/7/17 0:00,27.4
17/7/17 0:00,18/7/17 0:00,18.8
16/7/17 0:00,17/7/17 0:00,26.5
15/7/17 0:00,16/7/17 0:00,20.9
14/7/17 0:00,15/7/17 0:00,34.6
13/7/17 0:00,14/7/17 0:00,15.1
12/7/17 0:00,13/7/17 0:00,16.6
11/7/17 0:00,12/7/17 0:00,14.6
10/7/17 0:00,11/7/17 0:00,14.4
9/7/17 0:00,10/7/17 0:00,23.7
8/7/17 0:00,9/7/17 0:00,28.4
7/7/17 0:00,8/7/17 0:00,29
6/7/17 0:00,7/7/17 0:00,27.5
5/7/17 0:00,6/7/17 0:00,21.2
4/7/17 0:00,5/7/17 0:00,23.1
3/7/17 0:00,4/7/17 0:00,17.9
2/7/17 0:00,3/7/17 0:00,30.4
1/7/17 0:00,2/7/17 0:00,18.5
30/6/17 0:00,1/7/17 0:00,23.3
29/6/17 0:00,30/6/17 0:00,12
28/6/17 0:00,29/6/17 0:00,17.4
27/6/17 0:00,28/6/17 0:00,33.7
26/6/17 0:00,27/6/17 0:00,17
25/6/17 0:00,26/6/17 0:00,38
24/6/17 0:00,25/6/17 0:00,14.9
23/6/17 0:00,24/6/17 0:00,21.4
22/6/17 0:00,23/6/17 0:00,29.3
21/6/17 0:00,22/6/17 0:00,23.9
20/6/17 0:00,21/6/17 0:00,33.8
19/6/17 0:00,20/6/17 0:00,28.8
18/6/17 0:00,19/6/17 0:00,17.4
17/6/17 0:00,18/6/17 0:00,16.7
16/6/17 0:00,17/6/17 0:00,26.5
15/6/17 0:00,16/6/17 0:00,25.3
14/6/17 0:00,15/6/17 0:00,41.2
13/6/17 0:00,14/6/17 0:00,16.8
12/6/17 0:00,13/6/17 0:00,29.7
11/6/17 0:00,12/6/17 0:00,29.3
10/6/17 0:00,11/6/17 0:00,27.8
9/6/17 0:00,10/6/17 0:00,30.4
8/6/17 0:00,9/6/17 0:00,27.4
7/6/17 0:00,8/6/17 0:00,29.3
6/6/17 0:00,7/6/17 0:00,24.9
5/6/17 0:00,6/6/17 0:00,25.7
4/6/17 0:00,5/6/17 0:00,18.4
3/6/17 0:00,4/6/17 0:00,28.8
2/6/17 0:00,3/6/17 0:00,19.3
1/6/17 0:00,2/6/17 0:00,22
31/5/17 0:00,1/6/17 0:00,11.4
30/5/17 0:00,31/5/17 0:00,12.5
29/5/17 0:00,30/5/17 0:00,16.1
28/5/17 0:00,29/5/17 0:00,9.6
27/5/17 0:00,28/5/17 0:00,12.6
26/5/17 0:00,27/5/17 0:00,12.8
25/5/17 0:00,26/5/17 0:00,18.6
24/5/17 0:00,25/5/17 0:00,6.3
23/5/17 0:00,24/5/17 0:00,8.3
22/5/17 0:00,23/5/17 0:00,6.3
21/5/17 0:00,22/5/17 0:00,16.9
20/5/17 0:00,21/5/17 0:00,23.2
19/5/17 0:00,20/5/17 0:00,15.6
18/5/17 0:00,19/5/17 0:00,13.5
17/5/17 0:00,18/5/17 0:00,6.5
16/5/17 0:00,17/5/17 0:00,13.9
15/5/17 0:00,16/5/17 0:00,10.5
14/5/17 0:00,15/5/17 0:00,11.1
13/5/17 0:00,14/5/17 0:00,11.4
12/5/17 0:00,13/5/17 0:00,4.6
11/5/17 0:00,12/5/17 0:00,7.1
10/5/17 0:00,11/5/17 0:00,3.7
9/5/17 0:00,10/5/17 0:00,6.1
8/5/17 0:00,9/5/17 0:00,8
7/5/17 0:00,8/5/17 0:00,10.2
6/5/17 0:00,7/5/17 0:00,9.8
5/5/17 0:00,6/5/17 0:00,9.8
4/5/17 0:00,5/5/17 0:00,9.4
3/5/17 0:00,4/5/17 0:00,9.4
2/5/17 0:00,3/5/17 0:00,9.4
1/5/17 0:00,2/5/17 0:00,9.4
30/4/17 0:00,1/5/17 0:00,9.3
29/4/17 0:00,30/4/17 0:00,9.4
28/4/17 0:00,29/4/17 0:00,9.4
27/4/17 0:00,28/4/17 0:00,5.5
26/4/17 0:00,27/4/17 0:00,10.5
25/4/17 0:00,26/4/17 0:00,5.6
24/4/17 0:00,25/4/17 0:00,8.8
23/4/17 0:00,24/4/17 0:00,8.2
22/4/17 0:00,23/4/17 0:00,13.6
21/4/17 0:00,22/4/17 0:00,7.1
20/4/17 0:00,21/4/17 0:00,1.7
19/4/17 0:00,20/4/17 0:00,2.7
18/4/17 0:00,19/4/17 0:00,3.7
17/4/17 0:00,18/4/17 0:00,6.6
16/4/17 0:00,17/4/17 0:00,9.3
15/4/17 0:00,16/4/17 0:00,7.2
14/4/17 0:00,15/4/17 0:00,5.7
13/4/17 0:00,14/4/17 0:00,4.9
12/4/17 0:00,13/4/17 0:00,2.9
11/4/17 0:00,12/4/17 0:00,4.7
10/4/17 0:00,11/4/17 0:00,6.1
9/4/17 0:00,10/4/17 0:00,20.6
8/4/17 0:00,9/4/17 0:00,5.6
7/4/17 0:00,8/4/17 0:00,3.8
6/4/17 0:00,7/4/17 0:00,2.5
