Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Burundi,BDI,2940498,2992893.0,3045392.0,3098852.0,3154474.0,3212864,3275465.0,3341476.0,3406650.0,3465190.0,3513499,3549864.0,3577187.0,3602204.0,3634284.0,3680401,3742452.0,3819115.0,3910124.0,4014190.0,4129997.0,4257303.0,4395560.0,4542467.0,4695065.0,4850597.0,5008201.0,5166403.0,5321108.0,5467413.0,5601720.0,5724030.0,5835071.0,5933293.0,6017127.0,6086751.0,6140258.0,6181493.0,6223515.0,6283662.0,6374347.0,6499653.0,6656071.0,6838764.0,7039534.0,7251424.0,7474363.0,7707781.0,7943385.0,8170853.0,8382849.0
Cambodia,KHM,5433306,5564215.0,5697598.0,5836139.0,5983575.0,6141404,6310320.0,6485769.0,6657435.0,6811663.0,6937996,7039481.0,7118136.0,7162333.0,7157572.0,7097800,6972559.0,6796368.0,6618684.0,6506208.0,6505693.0,6636869.0,6883519.0,7211815.0,7570081.0,7919802.0,8250479.0,8571130.0,8885701.0,9203893.0,9531928.0,9868226.0,10205755.0,10539239.0,10862069.0,11169233.0,11458858.0,11731187.0,11986128.0,12224414.0,12446949.0,12653684.0,12845222.0,13024171.0,13193961.0,13357574.0,13515884.0,13669857.0,13822644.0,13977903.0,14138255.0
Cameroon,CMR,5409083,5525481.0,5647721.0,5775774.0,5909450.0,6048706,6193834.0,6345309.0,6503500.0,6668834.0,6841763,7022124.0,7210272.0,7407756.0,7616558.0,7837926,8072879.0,8320635.0,8578425.0,8842355.0,9109727.0,9379109.0,9651552.0,9929831.0,10218016.0,10518855.0,10832919.0,11158600.0,11493770.0,11835344.0,12180819.0,12529904.0,12882506.0,13236573.0,13589699.0,13940337.0,14287475.0,14631908.0,14976200.0,15324051.0,15678269.0,16039737.0,16408085.0,16783366.0,17165267.0,17553589.0,17948395.0,18350022.0,18758778.0,19175028.0,19598889.0
Canada,CAN,17909009,18271000.0,18614000.0,18964000.0,19325000.0,19678000,20048000.0,20412000.0,20744000.0,21028000.0,21324000,21645535.17,21993630.79,22369407.51,22774087.28,23209000,23518000.0,23796000.0,24036000.0,24277000.0,24593000.0,24900000.0,25202000.0,25456000.0,25702000.0,25942000.0,26204000.0,26550000.0,26895000.0,27379000.0,27791000.0,28171681.96,28519597.36,28833410.36,29111906.4,29354000.0,29671900.0,29987200.0,30247900.0,30499200.0,30769700.0,31081900.0,31362000.0,31676000.0,31995000.0,32312000.0,32649000.0,32976000.0,33311400.0,33739900.0,34108752.0
Cape Verde,CPV,210933,215792.0,221343.0,227430.0,233809.0,240301,246724.0,253087.0,259610.0,266624.0,274282,282888.0,292150.0,300922.0,307657.0,311349,311403.0,308423.0,304077.0,300726.0,300047.0,302737.0,308230.0,315410.0,322560.0,328481.0,332775.0,335966.0,338857.0,342646.0,348165.0,355655.0,364727.0,374820.0,385101.0,394946.0,404166.0,412893.0,421203.0,429278.0,437238.0,445096.0,452740.0,460031.0,466784.0,472883.0,478267.0,483023.0,487371.0,491621.0,495999.0
Cayman Islands,CYM,8092,8277.0,8418.0,8524.0,8612.0,8701,8787.0,8875.0,9002.0,9216.0,9545,10004.0,10581.0,11253.0,11990.0,12764,13578.0,14432.0,15290.0,16110.0,16861.0,17524.0,18116.0,18702.0,19366.0,20172.0,21141.0,22253.0,23475.0,24752.0,26048.0,27363.0,28710.0,30074.0,31437.0,32792.0,34096.0,35361.0,36704.0,38284.0,40195.0,42501.0,45117.0,47815.0,50273.0,52268.0,53712.0,54679.0,55295.0,55763.0,56230.0
Central African Republic,CAF,1503509,1529237.0,1556665.0,1585774.0,1616524.0,1648838,1682880.0,1718560.0,1755258.0,1792147.0,1828709,1864764.0,1900723.0,1937410.0,1975985.0,2017362,2061466.0,2108232.0,2158547.0,2213492.0,2273630.0,2339759.0,2411176.0,2485120.0,2557808.0,2626638.0,2690250.0,2749702.0,2807768.0,2868515.0,2934777.0,3007347.0,3084958.0,3165869.0,3247456.0,3327710.0,3406451.0,3484027.0,3559604.0,3632287.0,3701607.0,3767068.0,3829238.0,3890075.0,3952281.0,4017880.0,4087534.0,4160940.0,4237961.0,4318128.0,4401051.0
Chad,TCD,2954088,3017366.0,3083054.0,3150606.0,3219259.0,3288547,3357972.0,3427888.0,3499681.0,3575273.0,3655905,3742580.0,3834574.0,3929341.0,4023300.0,4114094,4201073.0,4285738.0,4370560.0,4459072.0,4554089.0,4656116.0,4765160.0,4882913.0,5011242.0,5151339.0,5304490.0,5470211.0,5645708.0,5826974.0,6011224.0,6197766.0,6387856.0,6583079.0,6785842.0,6998108.0,7219081.0,7448585.0,7689836.0,7946982.0,8222327.0,8517944.0,8831199.0,9153893.0,9474792.0,9785902.0,10084087.0,10371839.0,10653762.0,10937089.0,11227208.0
Channel Islands,CHI,109396,110381.0,111448.0,112582.0,113765.0,114974,116200.0,117437.0,118676.0,119910.0,121126,122338.0,123534.0,124649.0,125599.0,126335,126821.0,127101.0,127299.0,127585.0,128085.0,128828.0,129777.0,130905.0,132156.0,133482.0,134898.0,136394.0,137856.0,139136.0,140137.0,140804.0,141179.0,141384.0,141594.0,141934.0,142448.0,143102.0,143847.0,144607.0,145330.0,145995.0,146626.0,147262.0,147963.0,148763.0,149682.0,150689.0,151705.0,152618.0,153352.0
Chile,CHL,7651579,7848372.0,8050234.0,8254329.0,8457066.0,8655738,8849016.0,9037026.0,9220343.0,9400225.0,9577572,9752949.0,9925950.0,10095485.0,10260027.0,10418880,10571597.0,10719748.0,10867152.0,11018910.0,11178817.0,11348442.0,11527274.0,11714442.0,11908189.0,12107225.0,12310666.0,12518930.0,12733409.0,12956088.0,13187821.0,13429315.0,13678373.0,13929390.0,14174890.0,14409416.0,14630769.0,14840038.0,15039162.0,15231557.0,15419820.0,15604200.0,15783991.0,15959793.0,16132209.0,16301726.0,16468677.0,16633254.0,16795593.0,16955737.0,17113688.0
China,CHN,667070000,660330000.0,665770000.0,682335000.0,698355000.0,715185000,735400000.0,754550000.0,774510000.0,796025000.0,818315000,841105000.0,862030000.0,881940000.0,900350000.0,916395000,930685000.0,943455000.0,956165000.0,969005000.0,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000.0,1150780000.0,1164970000.0,1178440000.0,1191835000.0,1204855000.0,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331380000.0,1338299512.0
Colombia,COL,16004714,16487391.0,16984652.0,17495793.0,18019927.0,18555731,19104020.0,19663029.0,20225830.0,20783427.0,21329811,21861689.0,22381887.0,22898136.0,23421644.0,23960605,24517307.0,25089511.0,25675364.0,26271401.0,26874906.0,27485678.0,28104254.0,28729367.0,29359535.0,29993539.0,30630754.0,31270841.0,31913250.0,32557521.0,33203321.0,33849971.0,34497319.0,35146220.0,35797965.0,36453337.0,37112621.0,37775054.0,38439099.0,39102653.0,39764166.0,40422597.0,41078136.0,41731914.0,42385712.0,43040558.0,43696540.0,44352327.0,45005782.0,45654044.0,46294841.0
Comoros,COM,193052,196605.0,200199.0,203916.0,207856.0,212097,216728.0,221755.0,227075.0,232529.0,238032,243481.0,249000.0,254997.0,262030.0,270467,280464.0,291816.0,304071.0,316582.0,328861.0,340778.0,352416.0,363759.0,374852.0,385740.0,396391.0,406798.0,417077.0,427392.0,437876.0,448576.0,459515.0,470765.0,482401.0,494486.0,507062.0,520151.0,533754.0,547864.0,562469.0,577569.0,593170.0,609271.0,625876.0,642974.0,660559.0,678602.0,697034.0,715774.0,734750.0
