NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
63053073718,4064485,Consumption,10/4/2017,No,0.054,0.051,0.059,0.276,0.306,0.051,0.052,0.053,0.058,0.167,0.088,0.069,0.133,0.357,0.348,0.339,0.309,0.138,0.121,0.136,0.077,0.037,0.006,0.0,0.039,0.001,0.028,0.064,0.475,0.058,0.201,0.0,0.0,0.332,0.325,0.214,0.063,0.084,0.336,0.062,0.068,0.06,0.066,0.065,0.062,0.058,0.052,0.051
63053073718,4064485,Consumption,11/4/2017,No,0.128,0.116,0.084,0.059,0.057,0.058,0.056,0.057,0.056,0.124,0.069,0.051,0.051,0.347,0.198,0.123,0.411,0.766,0.178,0.075,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.042,0.001,0.005,0.009,0.033,0.056,0.055,0.053,0.056,0.057,0.056,0.15,0.286,0.429,0.163,0.073,0.07,0.063
63053073718,4064485,Consumption,12/4/2017,No,0.062,0.058,0.056,0.056,0.055,0.058,0.058,0.058,0.058,0.058,0.141,0.088,0.111,0.148,0.059,0.0,0.0,0.004,0.013,0.019,0.253,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.008,0.014,0.025,0.056,0.057,0.056,0.054,0.05,0.081,0.241,0.275,0.2,0.069,0.079,0.083,0.08
63053073718,4064485,Consumption,13/4/2017,No,0.074,0.064,0.061,0.057,0.055,0.058,0.053,0.051,0.054,0.05,0.051,0.053,0.05,0.319,0.35,0.115,0.001,0.0,0.0,0.236,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.013,0.018,0.033,0.055,0.054,0.056,0.401,0.507,0.243,0.268,0.284,0.369,0.194,0.182,0.261,0.062
63053073718,4064485,Consumption,14/4/2017,No,0.06,0.061,0.059,0.055,0.057,0.055,0.054,0.054,0.053,0.054,0.053,0.053,0.055,0.057,0.306,0.279,0.081,0.07,0.703,0.0,0.0,0.096,0.192,0.199,0.135,0.466,0.019,0.089,0.008,0.692,0.365,0.12,0.065,0.016,0.012,0.055,0.06,0.056,0.054,0.053,0.056,0.275,0.141,0.06,0.06,0.06,0.059,0.056
63053073718,4064485,Consumption,15/4/2017,No,0.055,0.054,0.053,0.053,0.053,0.057,0.057,0.057,0.056,0.056,0.053,0.053,0.063,0.339,0.065,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.007,0.191,0.359,0.0,0.0,0.0,0.0,0.034,0.042,0.022,0.129,0.79,1.205,0.788,0.4,0.259,0.108,0.524,0.153,0.6,0.073,0.063,0.166,0.09
63053073718,4064485,Consumption,16/4/2017,No,0.085,0.065,0.069,0.062,0.062,0.077,0.077,0.071,0.069,0.05,0.052,0.054,0.319,0.508,1.29,1.385,1.338,1.188,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.035,0.172,0.078,0.299,0.206,0.359,0.462,0.141,0.094,0.067,0.068,0.064,0.058,0.055
63053073718,4064485,Consumption,17/4/2017,No,0.055,0.054,0.052,0.054,0.054,0.053,0.054,0.053,0.05,0.053,0.05,0.05,0.051,0.051,0.001,0.0,0.014,0.308,0.017,0.165,0.259,0.746,0.485,0.302,0.359,0.544,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.043,0.354,0.387,0.318,0.14,0.186,0.354,0.15,0.051,0.05,0.051,0.055,0.052,0.05
63053073718,4064485,Consumption,18/4/2017,No,0.048,0.049,0.048,0.045,0.046,0.046,0.046,0.045,0.046,0.122,0.046,0.048,0.045,0.232,0.317,0.266,0.075,0.072,0.129,0.121,0.047,0.091,0.066,0.001,0.0,0.053,0.392,0.001,0.0,0.0,0.0,0.0,0.008,0.02,0.039,0.057,0.067,0.064,0.115,0.079,0.106,0.096,0.181,0.087,0.077,0.052,0.052,0.051
63053073718,4064485,Consumption,19/4/2017,No,0.051,0.049,0.049,0.048,0.047,0.047,0.047,0.046,0.046,0.045,0.046,0.044,0.043,0.07,0.087,0.209,0.341,0.126,0.199,0.273,0.042,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.031,0.049,0.049,0.049,0.048,0.049,0.049,0.048,0.049,0.05,0.051,0.049,0.05,0.049
63053073718,4064485,Consumption,20/4/2017,No,0.05,0.049,0.049,0.05,0.048,0.048,0.048,0.049,0.049,0.047,0.047,0.047,0.046,0.05,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.059,0.055,0.054,0.051,0.048,0.049,0.138,0.204,0.098,0.087,0.058,0.067,0.053
63053073718,4064485,Consumption,21/4/2017,No,0.05,0.049,0.049,0.049,0.053,0.052,0.052,0.052,0.05,0.051,0.05,0.048,0.05,0.124,0.098,0.458,0.061,0.168,0.134,0.14,0.88,0.785,0.58,0.916,0.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.036,0.048,0.048,0.047,0.09,0.168,0.108,0.111,0.109,0.109,0.11,0.108,0.109,0.082,0.068
63053073718,4064485,Consumption,22/4/2017,No,0.056,0.051,0.05,0.052,0.049,0.049,0.115,0.123,0.08,0.056,0.057,0.053,0.052,0.053,0.066,0.281,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.348,1.008,1.064,1.212,1.655,1.31,1.413,1.299,1.212,0.506,0.084,0.087,0.19,0.21,0.146,0.127,0.118,0.116,0.124,0.127
63053073718,4064485,Consumption,23/4/2017,No,0.119,0.114,0.114,0.113,0.113,0.112,0.112,0.111,0.111,0.111,0.108,0.106,0.108,0.108,0.178,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.001,0.002,0.0,0.47,0.542,0.573,0.12,0.175,0.598,0.735,0.209,0.436,0.504,0.19,0.179,0.245,0.244,0.273,0.155,0.121,0.154,0.214,0.141,0.138
63053073718,4064485,Consumption,24/4/2017,No,0.135,0.129,0.121,0.115,0.114,0.114,0.114,0.118,0.118,0.116,0.116,0.076,0.064,0.089,0.131,0.578,0.832,0.957,0.987,0.891,0.578,0.003,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.093,0.126,0.13,0.185,0.169,0.166,0.238,0.491,0.206,0.104,0.092,0.065,0.075,0.076
63053073718,4064485,Consumption,25/4/2017,No,0.068,0.099,0.126,0.12,0.116,0.114,0.117,0.132,0.139,0.129,0.126,0.08,0.068,0.077,0.078,0.098,0.12,0.061,0.04,0.01,0.18,0.003,0.0,0.124,0.002,0.006,0.006,0.026,0.155,0.015,0.021,0.082,0.09,0.13,0.16,0.209,0.161,0.15,0.145,0.172,0.678,0.232,0.4,0.132,0.12,0.112,0.109,0.089
63053073718,4064485,Consumption,26/4/2017,No,0.061,0.059,0.064,0.062,0.062,0.083,0.061,0.061,0.089,0.116,0.108,0.107,0.108,0.116,0.119,0.439,0.235,0.225,0.06,0.001,0.0,0.0,0.0,0.0,0.022,0.073,0.036,0.134,0.036,0.0,0.0,0.025,0.046,0.122,0.205,0.245,0.427,0.402,0.415,0.26,0.531,0.526,0.478,0.189,0.097,0.119,0.11,0.07
63053073718,4064485,Consumption,27/4/2017,No,0.058,0.058,0.061,0.058,0.056,0.058,0.121,0.111,0.085,0.056,0.07,0.323,0.317,0.334,0.362,0.331,0.187,0.904,0.077,0.0,0.0,0.002,0.0,0.0,0.059,0.12,0.011,0.0,0.0,0.0,0.243,0.209,0.305,0.357,0.416,0.304,0.19,0.499,0.606,0.517,0.774,0.551,0.569,0.135,0.088,0.075,0.073,0.073
63053073718,4064485,Generation,27/4/2017,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.236,0.265,0.379,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63053073718,4064485,Consumption,28/4/2017,No,0.071,0.071,0.13,0.124,0.121,0.07,0.068,0.067,0.069,0.293,0.097,0.128,0.575,0.59,0.979,1.228,1.352,1.089,0.804,0.88,0.428,0.841,0.319,0.029,0.0,0.01,0.932,1.381,0.602,1.114,1.071,0.242,0.04,0.049,0.087,0.059,0.059,0.132,0.218,0.275,0.415,0.223,0.196,0.26,0.359,0.117,0.081,0.109
