year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1889,mnth_highest,37.3,35.5,35.5,31.1,25.6,18.9,16.7,20.0,23.6,29.1,34.0,37.7
1889,mnth_lowest,9.8,7.5,6.1,2.9,4.1,3.1,-0.3,0.1,0.1,3.2,5.1,8.3
1889,mnth_mean_max,25.3,24.5,24.3,20.9,16.7,14.1,13.0,14.3,16.3,19.8,21.7,23.7
1889,mnth_mean_min,14.9,13.7,12.0,11.1,9.3,8.3,4.8,6.1,6.2,10.4,11.1,12.0
1890,mnth_highest,38.6,39.7,34.7,30.8,23.1,18.9,16.9,18.7,23.8,24.4,34.7,31.6
1890,mnth_lowest,8.8,11.3,9.4,4.4,3.1,3.3,-1.7,0.9,1.7,5.9,7.3,5.9
1890,mnth_mean_max,28.8,27.8,25.2,20.9,17.1,14.8,12.6,14.4,17.1,18.6,19.4,21.5
1890,mnth_mean_min,15.8,15.7,14.4,10.3,8.0,8.9,4.5,6.2,8.1,9.2,10.4,11.3
1891,mnth_highest,39.4,38.1,37.5,28.1,22.6,15.8,16.3,21.2,25.1,29.0,36.1,38.4
1891,mnth_lowest,7.9,7.2,7.7,5.0,1.3,1.7,1.1,3.9,2.1,3.3,6.8,7.1
1891,mnth_mean_max,24.6,24.1,24.3,19.0,17.6,13.6,13.2,14.7,17.3,18.5,20.3,22.7
1891,mnth_mean_min,12.3,12.1,13.2,10.0,7.3,7.6,6.4,7.1,7.6,9.3,10.6,11.0
1892,mnth_highest,37.5,35.8,40.0,29.6,21.2,17.5,16.9,19.3,21.7,25.9,32.7,33.6
1892,mnth_lowest,8.4,8.3,6.2,4.7,2.1,1.4,1.3,-0.5,1.1,3.8,7.2,7.7
1892,mnth_mean_max,24.6,25.1,24.6,18.4,16.0,13.8,12.7,14.4,15.9,18.5,21.5,21.2
1892,mnth_mean_min,13.0,13.6,13.5,9.1,7.7,7.7,4.7,6.3,7.5,9.0,10.9,11.0
1893,mnth_highest,35.3,39.5,40.8,25.3,22.5,16.8,15.5,18.6,27.7,29.3,31.3,37.7
1893,mnth_lowest,7.3,9.2,6.3,4.4,2.1,0.5,-0.5,0.8,1.1,5.4,7.1,6.5
1893,mnth_mean_max,24.8,25.5,24.6,19.4,16.8,12.7,12.6,14.8,16.8,19.5,20.3,23.7
1893,mnth_mean_min,12.9,13.8,12.2,10.6,9.9,6.2,5.4,6.6,8.4,10.4,11.1,12.6
1894,mnth_highest,39.1,35.6,33.9,29.1,20.5,16.9,16.7,20.9,21.7,30.6,40.9,33.3
1894,mnth_lowest,11.1,7.9,8.5,6.6,2.9,1.5,-0.1,1.1,2.3,4.1,5.3,7.5
1894,mnth_mean_max,26.8,25.3,24.2,20.0,15.6,14.2,12.1,14.5,15.8,21.1,23.1,23.9
1894,mnth_mean_min,14.8,13.5,13.8,11.8,7.7,7.5,5.6,6.7,6.4,10.1,11.2,13.8
1895,mnth_highest,37.2,38.1,35.0,29.3,19.1,18.9,17.3,22.7,24.7,30.3,37.1,37.1
1895,mnth_lowest,9.7,10.1,7.7,4.3,-0.3,-1.3,0.7,1.6,1.2,3.9,3.9,7.3
1895,mnth_mean_max,25.0,28.0,23.0,21.1,15.4,14.2,12.6,15.8,17.2,21.7,22.0,25.4
1895,mnth_mean_min,13.6,14.4,12.7,10.7,7.6,5.9,4.6,7.7,7.2,10.2,10.2,12.7
1896,mnth_highest,42.2,39.3,35.0,27.3,22.3,16.9,16.1,19.5,24.3,31.9,36.3,37.1
