Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1962,12,33.0,Y
IDCJAC0002,014015,1963,01,30.9,Y
IDCJAC0002,014015,1963,02,30.6,Y
IDCJAC0002,014015,1963,03,32.0,Y
IDCJAC0002,014015,1963,04,31.7,Y
IDCJAC0002,014015,1963,05,31.3,Y
IDCJAC0002,014015,1963,06,29.5,Y
IDCJAC0002,014015,1963,07,29.5,Y
IDCJAC0002,014015,1963,08,30.2,Y
IDCJAC0002,014015,1963,09,31.7,Y
IDCJAC0002,014015,1963,10,33.0,Y
IDCJAC0002,014015,1963,11,33.7,Y
IDCJAC0002,014015,1963,12,32.9,Y
IDCJAC0002,014015,1964,01,31.9,Y
IDCJAC0002,014015,1964,02,33.1,Y
IDCJAC0002,014015,1964,03,31.4,Y
IDCJAC0002,014015,1964,04,32.4,Y
IDCJAC0002,014015,1964,05,32.1,Y
IDCJAC0002,014015,1964,06,30.2,Y
IDCJAC0002,014015,1964,07,31.2,Y
IDCJAC0002,014015,1964,08,31.3,Y
IDCJAC0002,014015,1964,09,33.0,Y
IDCJAC0002,014015,1964,10,33.5,Y
IDCJAC0002,014015,1964,11,31.8,Y
IDCJAC0002,014015,1964,12,32.2,Y
IDCJAC0002,014015,1965,01,32.2,Y
IDCJAC0002,014015,1965,02,32.3,Y
IDCJAC0002,014015,1965,03,30.0,Y
IDCJAC0002,014015,1965,04,32.8,Y
IDCJAC0002,014015,1965,05,32.8,Y
IDCJAC0002,014015,1965,06,30.6,Y
IDCJAC0002,014015,1965,07,29.1,Y
IDCJAC0002,014015,1965,08,30.4,Y
IDCJAC0002,014015,1965,09,32.4,Y
IDCJAC0002,014015,1965,10,33.0,Y
IDCJAC0002,014015,1965,11,33.6,Y
IDCJAC0002,014015,1965,12,31.8,Y
IDCJAC0002,014015,1966,01,31.7,Y
IDCJAC0002,014015,1966,02,31.5,Y
IDCJAC0002,014015,1966,03,32.6,Y
IDCJAC0002,014015,1966,04,33.4,Y
IDCJAC0002,014015,1966,05,31.6,Y
IDCJAC0002,014015,1966,06,31.4,Y
IDCJAC0002,014015,1966,07,30.7,Y
IDCJAC0002,014015,1966,08,31.4,Y
IDCJAC0002,014015,1966,09,32.4,Y
IDCJAC0002,014015,1966,10,32.7,Y
IDCJAC0002,014015,1966,11,33.0,Y
IDCJAC0002,014015,1966,12,32.6,Y
IDCJAC0002,014015,1967,01,31.4,Y
IDCJAC0002,014015,1967,02,29.9,Y
IDCJAC0002,014015,1967,03,31.2,Y
IDCJAC0002,014015,1967,04,33.0,Y
IDCJAC0002,014015,1967,05,32.0,Y
IDCJAC0002,014015,1967,06,29.5,Y
IDCJAC0002,014015,1967,07,29.9,Y
IDCJAC0002,014015,1967,08,31.1,Y
IDCJAC0002,014015,1967,09,32.4,Y
IDCJAC0002,014015,1967,10,33.6,Y
IDCJAC0002,014015,1967,11,34.2,Y
IDCJAC0002,014015,1967,12,34.0,Y
IDCJAC0002,014015,1968,01,31.1,Y
IDCJAC0002,014015,1968,02,29.8,Y
IDCJAC0002,014015,1968,03,32.0,Y
IDCJAC0002,014015,1968,04,32.8,Y
IDCJAC0002,014015,1968,05,30.2,Y
IDCJAC0002,014015,1968,06,30.5,Y
IDCJAC0002,014015,1968,07,29.7,Y
IDCJAC0002,014015,1968,08,31.1,Y
IDCJAC0002,014015,1968,09,32.5,Y
IDCJAC0002,014015,1968,10,33.4,Y
IDCJAC0002,014015,1968,11,33.7,Y
IDCJAC0002,014015,1968,12,33.6,Y
