pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_dist,sy_vmag,st_spectype,st_teff,st_rad,st_mass,st_lum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,pl_insol
"Kepler-225 b","Kepler-225","Transit",2014,"Kepler",561.10100000,16.2940000,"M1 V",3682.00,0.480000,0.593000,-0.99568,6.73897500000,0.0560000000,1.20000000,1.87000000,579.00,38.8830
"Kepler-231 c","Kepler-231","Transit",2014,"Kepler",316.61800000,15.8130000,"M1 V",3767.00,0.490000,0.580000,-1.03621,19.27156600000,0.1140000000,1.93000000,24.10000000,393.00,6.2670
"Kepler-235 b","Kepler-235","Transit",2014,"Kepler",428.01800000,16.5670000,"M0 V",4255.00,0.554000,0.581000,-1.10237,3.34022200000,0.0370000000,2.23000000,5.60000000,731.00,44.0000
"Kepler-236 b","Kepler-236","Transit",2014,"Kepler",288.76300000,16.0140000,"M1 V",3750.00,0.510000,0.596005,-1.22915,8.29561100000,0.0650000000,1.57000000,3.09000000,469.00,15.6320
"Kepler-249 c","Kepler-249","Transit",2014,"Kepler",190.40100000,16.3700000,"M2 V",3568.00,0.482000,0.510238,-1.49485,7.11370200000,0.0580000000,1.51000000,2.89000000,429.00,12.5290
"Kepler-249 d","Kepler-249","Transit",2014,"Kepler",190.40100000,16.3700000,"M2 V",3568.00,0.482000,0.510238,-1.49485,15.36845900000,0.0970000000,1.57000000,3.09000000,332.00,4.4740
"Kepler-252 b","Kepler-252","Transit",2014,"Kepler",379.42400000,15.4060000,"M0 V",4208.00,0.549000,0.610000,-0.78566,6.66839100000,0.0580000000,1.23000000,2.04000000,587.00,39.2640
"Kepler-252 c","Kepler-252","Transit",2014,"Kepler",379.42400000,15.4060000,"M0 V",4208.00,0.549000,0.610000,-0.78566,10.84846300000,0.0800000000,2.15000000,5.27000000,499.00,20.5070
"Kepler-267 d","Kepler-267","Transit",2014,"Kepler",264.99300000,16.6900000,"M1 V",4258.00,0.555000,0.541571,-1.22915,28.46451500000,0.1540000000,2.27000000,5.77000000,301.00,2.6470
"Kepler-287 c","Kepler-287","Transit",2014,"Kepler",835.86000000,14.9520000,"K7 V",5806.00,1.032000,0.963000,-0.13438,44.85189600000,0.2460000000,3.26000000,66.00000000,513.00,12.4570
"Kepler-296 c","Kepler-296","Transit",2014,"Kepler",167.00000000,16.3630000,"M2 V",3740.00,0.480000,0.498000,-1.50864,5.84163660000,0.0521000000,2.00000000,4.66000000,606.00,14.8000
"Kepler-296 d","Kepler-296","Transit",2014,"Kepler",167.00000000,16.3630000,"M2 V",3740.00,0.480000,0.498000,-1.50864,19.85029100000,0.1180000000,2.09000000,5.02000000,403.00,2.9000
"Kepler-296 e","Kepler-296","Transit",2014,"Kepler",167.00000000,16.3630000,"M2 V",3740.00,0.480000,0.498000,-1.50864,34.14211000000,0.1690000000,1.53000000,2.96000000,337.00,1.4100
"Kepler-296 f","Kepler-296","Transit",2014,"Kepler",167.00000000,16.3630000,"M2 V",3740.00,0.480000,0.498000,-1.50864,63.33627000000,0.2550000000,1.80000000,3.89000000,274.00,0.6200
"Kepler-303 b","Kepler-303","Transit",2014,"Kepler",209.73800000,14.9170000,"M0 V",3944.00,0.485000,0.575000,-1.06550,1.93705500000,0.0240000000,0.89000000,0.64000000,802.00,145.4360
"Kepler-303 c","Kepler-303","Transit",2014,"Kepler",209.73800000,14.9170000,"M0 V",3944.00,0.485000,0.575000,-1.06550,7.06114900000,0.0570000000,1.14000000,1.55000000,521.00,25.8510
"Kepler-309 b","Kepler-309","Transit",2014,"Kepler",544.56800000,15.4180000,"M0 V",4713.00,0.721000,0.816000,-0.57400,5.92365300000,0.0590000000,1.56000000,3.05000000,531.00,99.4930
"Kepler-412 b","Kepler-412","Transit",2014,"Kepler",1086.24000000,14.3990000,"G3 V",5750.00,1.287000,1.167000,0.26854,1.72086040000,0.0289700000,15.03126900,299.07803000,1850.00,2144.3070
"Kepler-421 b","Kepler-421","Transit",2014,"Kepler",348.55800000,13.6110000,"G9/K0",5308.00,0.757000,0.794000,-0.39800,704.19840000000,1.2190000000,4.16000000,16.10000000,185.00,0.2000
"Kepler-423 b","Kepler-423","Transit",2014,"Kepler",758.75300000,14.4620000,"G4 V",5560.00,0.950000,0.850000,-0.01800,2.68432850000,0.0358500000,13.36100000,189.10100000,1605.00,649.1480
"Kepler-425 b","Kepler-425","Transit",2014,"Kepler",646.64700000,14.8450000,"K1 V",5170.00,0.860000,0.930000,-0.32300,3.79701816000,0.0464000000,10.96200000,79.45000000,1070.00,229.0360
"Kepler-426 b","Kepler-426","Transit",2014,"Kepler",843.69500000,15.0320000,"G1 V",5725.00,0.920000,0.910000,-0.08900,3.21751883000,0.0414000000,12.22000000,108.06000000,1300.00,410.7230
"Kepler-427 b","Kepler-427","Transit",2014,"Kepler",1017.80000000,14.3010000,"G2 V",5800.00,1.350000,0.960000,0.29000,10.29099400000,0.0910000000,13.79000000,92.17000000,1100.00,208.7210
"Kepler-428 b","Kepler-428","Transit",2014,"Kepler",686.28400000,15.3620000,"K1 V",5150.00,0.800000,0.870000,-0.39000,3.52563254000,0.0433000000,12.11000000,403.63000000,1070.00,195.0880
"Kepler-49 e","Kepler-49","Transit",2014,"Kepler",311.22200000,15.6550000,"M1 V",4252.00,0.559000,0.549000,-1.13077,18.59610800000,0.1160000000,1.56000000,1.03815000,371.00,6.0630
"Kepler-81 d","Kepler-81","Transit",2014,"Kepler",348.29100000,15.2580000,"M0 V",4500.00,0.595000,0.648000,-0.88941,20.83784600000,0.1280000000,1.21000000,1.92000000,418.00,7.5070
"WASP-101 b","WASP-101","Transit",2014,"SuperWASP",201.22400000,10.3360000,"F6",6380.00,1.310000,1.410000,0.42052,3.58572000000,0.0505700000,16.02887000,162.09330000,1560.00,1089.1710
