x,y,z,classification,return intensity,scan angle,return number,total returns
383489.4,5828911.1,3.6,5.0,11.0,-12.0,3.0,3.0
383489.6,5828910.5,3.7,5.0,15.0,-12.0,2.0,2.0
383489.8,5828909.5,3.3,5.0,56.0,-12.0,1.0,2.0
383489.6,5828909.7,2.0,5.0,83.0,-12.0,2.0,2.0
383489.8,5828908.9,3.0,5.0,67.0,-12.0,2.0,2.0
383489.3,5828917.7,12.8,5.0,76.0,-13.0,2.0,2.0
383488.4,5828915.0,0.4,3.0,31.0,-13.0,3.0,3.0
383489.6,5828911.0,3.6,5.0,15.0,-12.0,2.0,2.0
383489.8,5828910.4,3.6,5.0,69.0,-12.0,2.0,2.0
383489.8,5828910.1,3.3,5.0,31.0,-12.0,2.0,2.0
383489.8,5828909.8,3.0,5.0,75.0,-12.0,1.0,1.0
383489.9,5828909.4,3.2,5.0,21.0,-12.0,2.0,2.0
383490.0,5828908.8,2.9,5.0,28.0,-12.0,2.0,2.0
383488.1,5828920.3,3.5,5.0,32.0,-14.0,1.0,2.0
383487.9,5828920.6,1.9,5.0,60.0,-14.0,2.0,2.0
383488.7,5828915.6,0.6,3.0,55.0,-13.0,3.0,3.0
383489.4,5828911.7,0.0,2.0,34.0,-12.0,2.0,2.0
383489.9,5828910.7,3.1,5.0,106.0,-12.0,1.0,2.0
383489.5,5828911.3,0.1,3.0,22.0,-12.0,2.0,2.0
383490.1,5828910.3,3.6,5.0,61.0,-12.0,1.0,2.0
383489.6,5828910.9,0.2,3.0,36.0,-12.0,2.0,2.0
383490.2,5828909.9,3.6,5.0,115.0,-12.0,1.0,1.0
383490.2,5828909.7,3.1,5.0,88.0,-12.0,1.0,2.0
383489.8,5828910.2,0.3,4.0,19.0,-12.0,2.0,2.0
383490.2,5828909.3,3.1,5.0,12.0,-12.0,2.0,2.0
383490.3,5828909.0,2.9,5.0,21.0,-12.0,2.0,2.0
383488.4,5828920.3,3.7,5.0,13.0,-14.0,2.0,2.0
383489.8,5828911.7,0.0,2.0,44.0,-12.0,2.0,2.0
383490.2,5828910.7,3.1,5.0,120.0,-12.0,1.0,2.0
383489.8,5828911.3,0.0,2.0,17.0,-12.0,2.0,2.0
383490.5,5828910.2,3.9,5.0,25.0,-12.0,1.0,3.0
383490.3,5828910.4,3.1,5.0,61.0,-12.0,2.0,3.0
383489.9,5828911.0,0.0,2.0,35.0,-12.0,3.0,3.0
383490.5,5828909.9,3.8,5.0,63.0,-12.0,1.0,2.0
383490.4,5828910.0,3.3,5.0,61.0,-12.0,2.0,2.0
383490.5,5828909.7,3.2,5.0,70.0,-12.0,1.0,2.0
383490.0,5828910.3,0.0,2.0,47.0,-12.0,2.0,2.0
383490.6,5828909.4,3.2,5.0,117.0,-12.0,2.0,3.0
383490.1,5828910.0,0.0,2.0,14.0,-12.0,3.0,3.0
383490.6,5828909.1,3.0,5.0,67.0,-12.0,2.0,3.0
383490.2,5828909.6,0.0,2.0,20.0,-12.0,3.0,3.0
383490.3,5828909.2,0.2,3.0,14.0,-12.0,2.0,2.0
383490.3,5828908.9,0.0,2.0,30.0,-12.0,3.0,3.0
383488.6,5828920.2,2.5,5.0,97.0,-14.0,1.0,1.0
383490.3,5828911.2,2.5,5.0,32.0,-12.0,1.0,2.0
383490.0,5828911.6,0.2,3.0,86.0,-12.0,2.0,2.0
383490.5,5828910.7,2.9,5.0,113.0,-12.0,1.0,2.0
383490.0,5828911.3,0.0,2.0,14.0,-12.0,2.0,2.0
383490.7,5828910.2,4.1,5.0,44.0,-12.0,1.0,2.0
383490.2,5828910.9,0.3,4.0,63.0,-12.0,2.0,2.0
383490.8,5828909.9,4.0,5.0,29.0,-12.0,1.0,3.0
383490.7,5828910.0,3.2,5.0,82.0,-12.0,2.0,3.0
383490.2,5828910.7,0.0,2.0,14.0,-12.0,3.0,3.0
383490.7,5828909.7,3.1,5.0,138.0,-12.0,1.0,1.0
383490.3,5828910.0,0.0,2.0,135.0,-12.0,1.0,1.0
383490.4,5828909.6,0.1,3.0,32.0,-12.0,2.0,2.0
383490.5,5828909.3,0.0,2.0,16.0,-12.0,2.0,2.0
383489.2,5828918.0,2.9,5.0,17.0,-13.0,3.0,3.0
383489.3,5828917.4,2.6,5.0,76.0,-13.0,3.0,3.0
383489.2,5828917.0,0.0,2.0,19.0,-13.0,3.0,3.0
383490.6,5828911.1,2.5,5.0,95.0,-12.0,1.0,1.0
383490.7,5828910.7,3.0,5.0,69.0,-12.0,1.0,2.0
383490.3,5828911.2,0.2,3.0,27.0,-12.0,2.0,2.0
383490.9,5828910.1,4.2,5.0,94.0,-12.0,1.0,2.0
383490.8,5828910.3,3.1,5.0,35.0,-12.0,2.0,2.0
383490.9,5828910.0,3.1,5.0,126.0,-12.0,1.0,2.0
